Abhishek > Abhijeet, Abhijit, Abhishekh, Abishek
Anoop > Anoopp, Annop, Anup, Anoop

Devendra > Devendrah, Deveendra, Deven, Devandra

Diksha > Dhiksha, Deeksha, Dikshaa, Dheeksha

Muskaan > Muskan, Muskkaan, Muskan, Muskkah

Divyansh > Divyanshh, Divyash, Divyansh, Divianesh

Kushal > Kushaal, Kushaal, Kushal, Kushaal

Nitish > Nitishh, Nitesh, Nittish, Nitish

Preeti > Preetii, Prety, Preethi, Pritty

Anand > Aananad, Aanand, Ananad, Ananda

Hemant > Hemanth, Hemanth, Hemant, Heman

Amol > Amool, Ammol, Amall, Aamol

Sonal > Sonall, Sonal, Sonall, Soonall

Rishab > Rishabh, Risshabh, Risab, Rishb

Shashwat > Sashwath, Shaswath, Sashwat, Shaaswat

Shatakshi > Shaatakshi, Shatakshii, Shathakshi, Shatakshee

Supriya > Suuppriya, Suppriya, Suprya, Supiriya

Anchal > Aanchal, Aanchaal, Anchall, Anchaal

Simran > Simrn, Simran, Simraan, Simarna

Srijan > Sreejan, Sridjan, Srjan, Shreejan

Ashwani > Aashwani, Ashvani, Ashuan, Ashwahni

Stuti > Stutii, Stuthi, Stuutii, Stutty

Abhijeet > Abhijeeth, Abijit, Abhijith, Abhejeet

Harshvardhan > Harshwaradhan, Harshavardhan, Harshvardan, Harshvradhan

Ajit > Ajeet, Ajitt, Ajeete, Ajith

Poornima > Poorinma, Purnima, Poorinima, Purnina

Anil > Anill, Annil, Anil, Aenil

Mahendra > Mahendar, Mahiendra, Mahender, Mahindar

Ahmad > Aahmad, Ahmadd, Ahmadh, Ahmaad

Shalini > Shaleeni, Shalini, Shalinee, Shallini

Abhijit > Abhijeet, Abhejit, Abhijith, Abhejeet

Suyash > Suyaash, Suuyash, Suyaash, Suuayash

Sanskriti > Sawnskriti, Sanckriti, Senskriti, Sankritih

Danish > Daaneesh, Danesh, Donesh, Daanish

Tamanna > Tamanah, Tamnnna, Tamanah, Tamannaah

Unnati > Unatti, Unanty, Unatty, Unnatee

Sachin > Sacin, Sachine, Sanchin, Sashin

Anupam > Anooppam, Annooppam, Anupam, Anupm

Shailesh > Shailasha, Shalesh, Shalessh, Shailash

Shoaib > Soaib, Shoaib, Shohaib, Shoaheb

Vishnu > Vishnnu, Visnhu, Vishn, Vishunu

Surya > Sourya, Suurya, Suria, Suriya

Pankaj > Pannkaj, Pankaaj, Pankaj, Pankaja

Kaif > Kafe, Keaf, Kayif, Kaeef

Pooja > Poojaa, Pojaa, Pujja, Pojja

Gayathri > Gayathree, Gayathry, Gathri, Gaythrre

Pradeep > Prrdeep, Praddep, Pradee, Pradeeb

Ritu > Rittu, Rituu, Ritue, Reetu

Dinesh > Dinessh, Dinees, Dineesh, Dinese

Shriya > Shriyaa, Shreyya, Shhrya, Shriyaa

Tharun > Tharon, Tharon, Tarun, Tharun

Karan > Karaan, Karan, Kkarn, Karaan

Kiran > Kiraan, Kirann, Keeran, Kiran

Tarun > Tharun, Tharune, Taruun, Taruune

Samarth > Samartha, Samrth, Smaarth, Samath

Ruchi > Ruchhi, Rucchi, Ruchi, Ruchie

Udit > Udditt, Udit, Udyit, Uditt

Rashi > Raashi, Rashhi, Rasshi, Raasshi

Shailendra > Shailendrra, Shailandr, Shailenddra, Shelandra

Sameer > Sameere, Samier, Samer, Samir

Shubhi > Shubhee, Shubie, Shoobhi, Shhoobi

Siddhant > Siddanth, Sidhhant, Sidhant, Sidhant

Mahi > Mahhi, Mahi, Mhehi, Mhahi

Kanika > Kanikaa, Kanikah, Kanniika, Kaanikah

Aishwarya > Aaishwarya, Ashwrayya, Aeshwarya, Aashwaryya

Rajat > Rajat, Rajaht, Rajet, Rajatt

Rituraj > Rethuraj, Ritejuraj, Returaj, Raituraj

Naman > Naaman, Naman, Naaman, Nmaan

Mukesh > Mukessh, Mukkesh, Mukes, Mukesh

Roshan > Roushan, Roshaann, Rooshan, Roshen

Nandini > Nandinee, Nadeeni, Nnadini, Nandnii

Rashmi > Raashmi, Rrasmi, Rashme, Raashimi

Vigneshwaran > Vigneshwarn, Vigeshwaran, Vignesharn, Vigneshwarun

Kriti > Kreeti, Krithy, Kretee, Kreth

Arpita > Arpeeta, Arppeeta, Aarpeeta, Arpite

Divyanshi > Divyanshii, Divyanshee, Divyancee, Diyanshi

Yogesh > Yogessh, Yogeash, Yoges, Yogash

Deepika > Deepikaa, Depekah, Depika, Deepikkha

Astha > Asthah, Aastha, Assthah, Aasthaa

Sanjay > Saanjay, Sange, Sanj, Saanj

Mahek > Mahhek, Mahek, Maheck, Maehk

Narendra > Narender, Narendrra, Narendar, Naarendra

Ekta > Eektaa, Ekhtaa, Ektah, Ektah

Adil > Aadil, Adeel, Adhl, Adeel

Ritesh > Riteshh, Riteish, Rritesh, Ritesh

Bhumika > Bhoomika, Bhuumika, Bhumikaa, Bhoomikaa
Samriddhi > Samridhi, Samridhee, Samridee, Samriddhhi

Anmol > Aanmol, Anmoal, Annmol, Anmoll

Aayushi > Aayushii, Ayushi, Ayuushi, Aayushi

Akshay > Aksay, Akshai, Aakshey, Akshae

Shekhar > Shekar, Shekher, Shekkar, Shekar

Amisha > Aamishe, Amiesha, Amesha, Ameesha

Amrita > Amreetah, Aamrita, Amritaa, Amreeta

Sekhar > Shekhar, Shekkhar, Shikar, Shikher

Kundalik > Kundalikk, Kundlek, Kundalk, Kundaalik

Durga > Durgah, Durrga, Durega, Durrgaah

Apurva > Apoorva, Apurrva, Appurva, Apurvah

Alka > Aalkaa, Allka, Aalkah, Alkka

Indora > Indorah, Indorrah, Indorra, Endora

Aqsa > Aqsha, Aaqsa, Aqasa, Aqsah

Anwar > Aawar, Annwar, Anwarr, Aanwar

Apratim > Apratheem, Apratimm, Aprathem, Apratium

Hasni > Haani, Haasni, Hashni, Hasnee

Dalia > Dalyaa, Dallia, Daalia, Dhalia

Aadharsh > Aadharsha, Aadhaarsh, Aadharh, Aadhars

Amarnath > Amaratha, Amarnaath, Ammarnath, Ammarnath

Bramoni > Braamonii, Brahmony, Bramonie, Brahmone

Nethaji > Netheji, Nethejee, Nathaji, Nethaaj

Chetna > Chetnah, Chetnaa, Cheetana, Chetanah

Aastha > Astha, Aashtha, Aestha, Ashtha

Aakriti > Akriti, Aakreetee, Akrity, Aakritti

Abhyuday > Abhyuuday, Abheuday, Abhhyuday, Abhayuday

Akarsh > Akersh, Akaash, Akarssh, Akarash

Navneet > Naveen, Navnnit, Navneeth, Navnit

Om > Ohm, Aum, Oom, Omi

Swapnil > Swappnil, Swaphnil, Swapniel, Swaapnil

Akhil > Akheel, Akhil, Akeel, Akkhil

Madhav > Maadhav, Madhaav, Mdhaav, Madhhav

Divyam > Divyaan, Diviam, Divyem, Divyyam

Kirti > Keerti, Kireti, Krethi, Kirtti

Annanya > Anaanya, Aananya, Ananaay, Annayna

Arunima > Arunimaa, Arunema, Arunimah, Aroonima

Niteesh > Nithesh, Nitesh, Nitesh, Nitehesh

Nithisha > Nitishaa, Neetisha, Nithasha, Niteesha

Sandhya > Sandeeya, Sandhyaa, Sandea, Sandhyaah

Uttam > Uttamm, Utamm, Utttam, Uttum

Vatsalya > Vatslyaa, Vaasalya, Vatsalaya, Vaatsalya

Aparna > Aaparna, Aparenna, Apaarna, Aparnaa

Disha > Deesha, Dishaa, Deeshaa, Dishah

Seema > Seemah, Seemaa, Sema, Semea

Suryansh > Suryanshh, Surryaansh, Suryaansh, Surianesh

Yashaswi > Yasaswi, Yashaswee, Yashaswii, Yasasvhi

Avinash > Aavinaash, Aavinash, Avinahs, Aaviinaash

Smita > Smitaa, Smeeta, Smitah, Smitaa

Subhra > Subrah, Suvbrah, Suubhra, Subha

Tuhin > Tuhhin, Touhin, Thuhin, Tuhinn

Arti > Aarti, Artie, Aritii, Aarati

Aakash > Akasha, Akash, Aakaash, Aakashee

Ayan > Aayan, Aaayn, Ayaann, Ayaann

Aryan > Ariaan, Aryann, Arya, Aryanne

Vertika > Vertikaa, Vvertika, Vertkah, Verteka

Umme > Ummee, Ummay, Umeh, Ummea

Yukti > Yukthy, Yukthi, Ukti, Yukiti

Vishesh > Visheesh, Vishash, Vishash, Visheshh

Ayushman > Ayushmaan, Aayushman, Ayushmann, Aayoushman

Geeta > Geetaa, Gitah, Gita, Geetah

Divyanshu > Divyyanshu, Divanshu, Divianhu, Divyashu

Jaswant > Jaaswant, Jasswant, Jashwant, Jaswann

Hemanshu > Heemanshu, Hemanhu, Hemmshu, Hemaanshu

Bhoopendra > Bhupendra, Bhupendrra, Bhoopendrah, Bhoopendrr

Bhawana > Bhavaanaa, Bhawnaa, Bhawnah, Bhaavana

Divakar > Divakaar, Dvvakar, Divvakar, Divkar

Dimpal > Dimple, Dimpall, Dhimpal, Dimpaa

Shrestha > Shresthha, Shreshta, Shrestah, Shreshthaa

Shivanshi > Shivanishi, Shivanji, Shivanxhi, Shivanashi

Shubh > Shoobh, Shubah, Subh, Shhubh

Shreyash > Shreyyaash, Shreaysh, Shreyashh, Shrayesh

Satyarth > Satyarath, Satayarth, Satyaarth, Satyrath

Satyam > Satyaam, Satyammm, Satayam, Satium

Shilpa > Sheilpa, Shilpah, Shilpaa, Shhlpa

Shikha > Shikhaa, Sikaah, Sikhaa, Sikha

Soniya > Soniyaa, Soneyaa, Soneya, Sonniya

Tanay > Tanayy, Thnay, Taneye, Tanaye

Sushant > Sushanath, Sushantt, Sushanth, Susshanth

Ujjwal > Ujwaal, Ujjal, Ujjwwal, Ujjvl

Tanu > Tanuh, Taanu, Tannu, Tnahu

Subham > Shoobham, Shubhm, Subham, Sbhubam

Srishti > Srishtee, Srishsti, Sreeshtee, Shristee

Suryakant > Suryakantth, Suryakanth, Surayknt, Surkakant

Sudhanshu > Sdhanshu, Sudanshu, Sudhanhu, Suddhanshu

Shivang > Shivangg, Shivankh, Sheivang, Shiwang

Shilpi > Shilpee, Shilppi, Shhlpi, Shilphy

Sourabh > Sourav, Souraabh, Sourabh, Suraaabh

Sonu > Soonu, Soenu, Sounu, Sonoo

Shakti > Shaktti, Shektti, Shktii, Shakth

Satendra > Sathendra, Sathendera, Satendrah, Stendra

Shaqib > Shaaqib, Shakib, Shqiab, Shaaqiib

Shalu > Shaloo, Shallu, Shalloo, Shalu

Sudheer > Sudeer, Sudheer, Sudheera, Sudheerr

Vipul > Vippul, Vipull, Vipula, Vippull

Vipin > Vippin, Vipinn, Vipiin, Vipina

Yashika > Yashikaa, Yashiika, Yashikha, Yashkai

Virat > Veerat, Verat, Viraat, Verrat

Varsha > Vaarsha, Vrsha, Varshah
Sunny > Sunnie, Sunney, Sunnny, Sunnie

Vineeta > Vineeeta, Vineetta, Vineetaa, Vinetta

Vibhanshu > Vibhanshoo, Vibhansu, Vibhaanshu, Vibhanashu

Monti > Montey, Monty, Montie, Montii

Minakshi > Meenakshi, Minakshii, Meenakshhi, Minaxshi

Nitikarsh > Nitikarssh, Niteekarsh, Nitikaarsh, Nitikash

Mugdha > Mugdhaa, Mugda, Magdha, Mugddha

Madhu > Madu, Maduu, Madhoo, Madhhu

Khanak > Khaanak, Khanek, Khaanak, Kkanak

Megha > Megah, Meegah, Megaa, Meegha

Manya > Maanya, Maaniya, Manniya, Mannya

Pakhi > Paakhi, Pakhee, Pakih, Pakhee

Ranu > Ranoo, Rannu, Ranuu, Ranuh

Purvi > Purvee, Purvii, Pourvi, Purvie

Sapna > Saapna, Sapnaa, Sapnah, Sappna

Saloni > Saaloni, Salonii, Saloanee, Salonnie

Prachi > Prrrachi, Prachiie, Prahchi, Praachie

Poonam > Pooonam, Ponam, Ponnam, Poonamm

Purnima > Poorinima, Purnimaa, Poorinimaa, Purnimah

Prajjwal > Prjjwal, Prajjal, Prajjwal, Prajjwwal

Satya > Satyaa, Sathyaa, Satyya, Sathya

Vandana > Vaandana, Vandanaa, Vandahna, Vandna

Tanishq > Tanisqh, Tannisq, Taneshq, Tanique

Amaan > Aman, Ammaan, Amman, Amaan

Yuvraj > Yuvraaj, Yuvaraj, Yuvarajh, Yuvrajh

Saurav > Souraav, Sauurav, Soorav, Saurav

Sanjeev > Saanjeev, Sanjiv, Sanjeevh, Sanjeive

Simaran > Simaraan, Simarn, Simarun, Simmaran

Shrishti > Srishtii, Shrishtee, Srishteee, Sreshti

Amrit > Amrith, Amreet, Amrite, Amret

Arman > Aarman, Armman, Aarman, Armenn

Archana > Archenaa, Archanna, Aarachna, Archnaa

Avanish > Avaneesh, Aavanish, Avaaneesh, Aavaneesh

Yusuf > Yusuff, Yoosuf, Yoossuf, Yoosuf

Anubhav > Anoobav, Anubavh, Anubahv, Annubhav

Anita > Aneetah, Anittaa, Anitha, Anittah

Anupriya > Anupriyaa, Anoopriya, Annopriya, Anoupriya

Anukriti > Anucreti, Anukritte, Annukriti, Anukratee

Kritika > Kritikaa, Krittika, Kreetika, Krettiika

Jaya > Jayaa, Jyea, Jaiya, Jayya

Namrata > Namarata, Namrataa, Nnamrata, Namrrata

Kushagra > Kushaagra, Kushaagr, Kushagrr, Kushaaagra

Hariom > Harriom, Harom, Hariom, Hariiomm

Gargi > Gaarigii, Garghi, Gargi, Garigi

Janvi > Jaanvi, Janvii, Janvee, Janvee

Jai > Jay, Jayy, Jaii, Jayee

Naziya > Naziyah, Naziyaa, Nazyya, Naziyyah

Ragini > Ragini, Raagini, Rageeni, Rageenee

Priyam > Priyamm, Priiam, Priiem, Pream

Sania > Saniyaa, Saniah, Saniea, Saniea

Sangeeta > Sangeetaa, Sangeetah, Sangeetaa, Sangeettah

Nimish > Nimeesh, Nimmish, Nimishh, Nimisch

Nimesh > Nimeesh, Nimesh, Nimmesh, Nimmash

Prabhakar > Pabhakar, Parbhakar, Prabhakr, Prabaakar

Nivedita > Niveedita, Nevidita, Nividiitaa, Neeveeditah

Neetika > Neetikaa, Neetikah, Nettika, Neetikhha

Monu > Monoo, Monnu, Mouno, Mounoo

Pankhuri > Pankhoori, Pankhurii, Pankhaari, Pankhorri

Nilesh > Nileshh, Nylesh, Nilesha, Nylash

Mallika > Mallikaa, Malikkaa, Maalika, Mallikka

Mahima > Mahiimaa, Mahimaa, Mahimah, Mahimaah

Mehak > Meheak, Mahak, Maehak, Mehakk

Manshi > Maaneshi, Manshii, Maanshii, Maanshe

Prakhyat > Prakhet, Praakhyat, Prakkhyat, Prakhyat

Saket > Saaket, Sakith, Sakketh, Saket

Rishika > Risheka, Rishikaa, Rishikaah, Rrishika

Satvik > Sathvik, Sathvikh, Sathvick, Sattvik

Sanskar > Sankar, Sanaskar, Sanxkar, Sanskkar

Prateek > Pratiik, Pratheek, Pratik, Prattek

Prarthana > Parthana, Prathana, Prarthanaa, Praratha

Rekha > Reekhaa, Rrekha, Raekha, Rekah

Pratham > Pratham, Prratham, Prathammm, Pathram

Devanshu > Deveenshu, Devanhhu, Devanshhu, Ddevanshu

Devansh > Deveensh, Devanshh, Devaanshh, Devensh

Dolly > Doly, Dollie, Dolley, Dollye

Dhruv > Druv, Dhruuv, Dhruvv, Dhrrov

Deeksha > Dikshe, Dheeksha, Diksha, Dheekshe

Bhavya > Bhaavyaa, Bhaavya, Bhaawya, Bhavyya

Dev > Dheve, Deev, Dhev, Devh

Deepali > Deepaali, Depaali, Deepalhee, Deeaali

Faizan > Fizan, Faizhan, Faaizann, Fayzan

Khushboo > Khusboo, Khushbu, Khooshboo, Khushbo

Karishma > Karishmaa, Karisma, Karshma, Kharishma

Madhuri > Madoori, Madhuree, Mmadhuuree, Madoori

Maaz > Maz, Maazz, Maas, Mhaaz

Jahnavi > Jahnavae, Jahnaavi, Jhanavee, Jahnaaavi

Jahanvi > Jahhnavi, Jahnave, Jahnaavi, Jahhavi

Kamran > Kamraaan, Kamrran, Kaamran, Kamran

Kamini > Kameenee, Kaameeni, Kamiinee, Kameeni

Rana > Rannna, Renaa, Ranaa, Raenaa

Sidhi > Sidhii, Sidhee, Sidhei, Sidie

Hartesh > Harteshh, Harteesh, Heartesh, Harteish

Mrithyunjay > Mrithhyunjay, Mritthiyunjay, Mrithyunjai, Mrithyunjae

Nishtha > Nishtaa, Neeshta, Nithaa, Nishha

Dilip > Dilipp, Dilep, Ddilip, Dillep

Ramanakanth > Ramnaknth, Ramanaknath, Ramanakandh, Ramanakant

Durgesh > Dirgesh, Durrgesh, Durrgesh, Durrgash
Dipa > Dipaa, Dhipa, Dheepa, Dhypa

Rohith > Roheeth, Roheeth, Roheth, Rohitt

Jagadeesh > Jagaadeesh, Jagadesh, Jagadeeshh, Jagadheesh

Indu > Indhu, Indhoo, Inddu, Indou

Shyam > Shyaam, Shyamm, Shyamm, Shaym

Shreyas > Shreyyaa, Shreyaash, Shryas, Shrayas

Indra > Inndra, Indraa, Indrah, Indura

Sasi > Saasi, Sashi, Shasi, Saasie

Arvind > Arvinda, Arvindh, Aarvind, Arrvind

Kartik > Kartikk, Kartic, Kartik, Kartikh

Kartikeya > Karthikeya, Kartickeya, Karthikea, Kartikeeeya

Chaitanya > Chaitanya, Chaytanya, Chaitanayaa, Chaintanya

Mani > Mani, Maani, Mani, Maane

Sukirti > Sukirti, Sukirthi, Sukirtii, Sukeerti

Subodh > Subodhh, Suboodh, Subeodh, Sbodh

Surendra > Sureendra, Surenra, Surendrra, Surindera

Ashok > Aashok, Ashokk, Ashock, Ashohk

Suresh > Sureesh, Sureshh, Suresh, Sureash

Karthikeya > Karitheke, Kartikhya, Kartheekeya, Karttikeya

Lalit > Laalit, Lallit, Lalitth, Laliit

Urmila > Urmillah, Uurrmilla, Urmilla, Urrmilla

Sudhakar > Sudhaakar, Sudakaaar, Sudhkar, Sudhakarr

Dhruva > Dhruvaa, Dhruv, Druvva, Dhroova

Dhananjay > Dhanaanjay, Dhananjayy, Dhannanjay, Dhanajay

