name1,name2,soundex_ratio,metaphone_ratio,levenshtein_ratio,jaro_winkler_ratio,cosine_similarity,euclidean_similarity,manhattan_similarity,pearson_similarity,label
Vaibhav,Vibhav,1,1,0.857142857,0.957142857,0.708756685,0.56714809,0.078337562,0.85438888,y
Vaibhav,Vaibhaav,1,1,0.875,0.975,0.89818871,0.689063354,0.125807891,0.94909855,y
Vaibhav,Vaibhaw,0.75,0.86,0.857142857,0.942857143,0.775390506,0.598717084,0.087378778,0.887697029,y
Amit,Amitt,1,1,0.8,0.96,0.838390231,0.637541972,0.099515055,0.919114263,y
Amit,Ameet,1,1,0.6,0.826666667,0.27983731,0.454517442,0.051021624,0.639513465,y
Amit,Aamith,1,0.4,0.666666667,0.9,0.326798618,0.462888808,0.052133568,0.663156309,y
Amit,Amith,1,0.67,0.8,0.96,0.799398243,0.612217555,0.091422274,0.899595796,y
Saumya,Soumya,1,1,0.833333333,0.9,0.717243493,0.570774264,0.077570587,0.858605073,y
Saumya,Soumyaa,1,1,0.714285714,0.864285714,0.690134645,0.559525108,0.075368521,0.845045783,y
Saumya,Soumyaa,1,1,0.714285714,0.864285714,0.690134645,0.559525108,0.075368521,0.845045783,y
Saumya,Soumaya,1,1,0.714285714,0.804285714,0.623985887,0.535562511,0.068657577,0.811964461,y
Rishabh,Rishab,1,0.86,0.857142857,0.971428571,0.831500769,0.632704818,0.100511512,0.915789883,y
Rishabh,Rishab,1,0.86,0.857142857,0.971428571,0.831500769,0.632704818,0.100511512,0.915789883,y
Rishabh,Rishabh,1,1,1,1,1,1,1,1,y
Rishabh,Rishaba,1,0.86,0.857142857,0.942857143,0.789454699,0.606459402,0.088911613,0.894741992,y
Shruti,Shruthi,1,0.67,0.857142857,0.971428571,0.865623951,0.658582242,0.11168096,0.932791065,y
Shruti,Shruti,1,1,1,1,1,1,1,1,y
Shruti,Sruti,1,0.67,0.833333333,0.95,0.356358141,0.468475079,0.054124789,0.677956288,y
Shruti,Shrruti,1,1,0.857142857,0.966666667,0.587336183,0.523978427,0.067062163,0.793581677,y
Himanshu,Himanshoo,1,1,0.777777778,0.930555556,0.775482178,0.598766059,0.088077912,0.887740727,y
Himanshu,Hemanth,0.75,0.75,0.625,0.801785714,0.312605113,0.460296161,0.051328803,0.656300707,n
Himanshu,Himansh,1,1,0.875,0.975,0.808994412,0.618020004,0.094272046,0.904496005,y
Himanshu,Himanshoo,1,1,0.777777778,0.930555556,0.775482178,0.598766059,0.088077912,0.887740727,y
Kajal,Kajaal,1,1,0.833333333,0.966666667,0.717060924,0.570695243,0.079097862,0.858497094,y
Kajal,Kajaal,1,1,0.833333333,0.966666667,0.717060924,0.570695243,0.079097862,0.858497094,y
Kajal,Kjal,0.75,1,0.8,0.865,0.930924058,0.729028707,0.147120192,0.96545332,y
Kajal,Kajali,1,1,0.833333333,0.966666667,0.69171083,0.560153453,0.075425532,0.845817245,n
Ankit,Ankith,1,0.75,0.833333333,0.966666667,0.878465533,0.669783232,0.113450303,0.939239257,y
Ankit,Ankit,1,1,1,1,1,1,1,1,y
Ankit,Ankeet,1,1,0.666666667,0.875555556,0.37912941,0.472962068,0.05323731,0.689572862,y
Ankit,Aniket,1,1,0.666666667,0.902222222,0.532679796,0.508448356,0.062077345,0.766336481,y
Gaurav,Gauravi,1,1,0.857142857,0.971428571,0.865729034,0.658670281,0.109725839,0.932835832,n
Gaurav,Gaurav,1,1,1,1,1.000000119,1,1,1,y
Gaurav,Gaurav,1,1,1,1,1.000000119,1,1,1,y
Gaurav,Gauruv,1,1,0.833333333,0.933333333,0.802493095,0.614061442,0.094264038,0.901170722,y
Nikhil,Nikhila,1,1,0.857142857,0.971428571,0.84483397,0.642229984,0.103472282,0.922436082,y
Nikhil,Nikhil,1,1,1,1,0.99999994,1,1,1,y
Nikhil,Nikil,1,0.86,0.833333333,0.961111111,0.815316081,0.621984759,0.095807053,0.907665604,y
Nikhil,Nikhil,1,1,1,1,0.99999994,1,1,1,y
Siddharth,Siddhartha,1,1,0.9,0.98,0.879031062,0.670298894,0.116870972,0.939510613,y
Siddharth,Siddharth,1,1,1,1,1.000000119,1,1,1,y
Siddharth,Siddharth,1,1,1,1,1.000000119,1,1,1,y
Siddharth,Sidharth,1,1,0.888888889,0.974074074,0.791746259,0.607764557,0.091201109,0.895882509,y
Prashant,Prashantha,1,0.8,0.8,0.96,0.869389176,0.661770175,0.10968086,0.934699767,y
Prashant,Prashanthi,1,0.8,0.8,0.96,0.881315887,0.672402474,0.11666902,0.940664763,y
Prashant,Prashant,1,1,1,1,1,1,1,1,y
Prashant,Prashantt,1,1,0.888888889,0.977777778,0.90763545,0.699397787,0.130479679,0.953787407,y
Priya,Priyaa,1,1,0.833333333,0.966666667,0.946122766,0.752864715,0.164719577,0.973048775,y
Priya,Priyanka,0.5,0.75,0.625,0.925,0.80153209,0.613486256,0.090791146,0.900711601,n
Priya,Preeya,1,1,0.666666667,0.857777778,0.444066107,0.486747959,0.058225433,0.722019779,y
Priya,Priia,1,0.8,0.8,0.906666667,0.847483754,0.644206446,0.103424468,0.923699533,y
Harshit,Harshith,1,0.75,0.875,0.975,0.707170844,0.566481393,0.077423171,0.853506785,y
Harshit,Harshita,1,1,0.875,0.975,0.621019781,0.53458518,0.067906752,0.810376524,n
Harshit,Harshi,0.75,0.86,0.857142857,0.971428571,0.766068697,0.593822499,0.086027751,0.88296095,n
Harshit,Harshith,1,0.75,0.875,0.975,0.707170844,0.566481393,0.077423171,0.853506785,y
Shashank,Shashanta,0.75,0.75,0.777777778,0.930555556,0.870773077,0.662961344,0.11123888,0.93540806,n
Shashank,Shashanna,0.75,0.86,0.777777778,0.930555556,0.862712383,0.656168292,0.108932651,0.931380907,y
Shashank,Shashank,1,1,1,1,1,1,1,1,y
Shashank,Shashana,0.75,0.86,0.875,0.95,0.881053746,0.672159403,0.115052392,0.940530951,n
Akash,Akasha,1,1,0.833333333,0.966666667,0.714239836,0.569479412,0.078089805,0.857103464,y
Akash,Aakash,1,0.8,0.833333333,0.89,0.529847324,0.507693222,0.061078791,0.764889955,y
Akash,Akash,1,1,1,1,0.99999994,1,1,1,y
Akash,Akash,1,1,1,1,0.99999994,1,1,1,y
Varun,Varuna,1,1,0.833333333,0.966666667,0.685525894,0.557705004,0.074053285,0.8425885,n
Varun,Vaarun,1,1,0.833333333,0.955555556,0.344655663,0.466232419,0.053194562,0.67222806,y
Varun,Varun,1,1,1,1,1.000000119,1,1,1,y
Varun,Varrun,1,1,0.833333333,0.961111111,0.723774016,0.573634221,0.080301068,0.861740991,y
Yash,Yasha,1,1,0.8,0.96,0.47826317,0.494680827,0.058364629,0.739075399,y
Yash,Yashvi,0.75,0.8,0.666666667,0.933333333,0.580273986,0.521861832,0.065546893,0.790109368,n 
Yash,Yaash,1,1,0.8,0.946666667,0.673475087,0.553062184,0.074245782,0.836748702,y
Yash,Yash,1,1,1,1,1,1,1,1,y
Shreya,Shreyas,0.75,0.86,0.857142857,0.971428571,0.942228019,0.746314433,0.161605302,0.971105519,n
Shreya,Shreeya,1,1,0.857142857,0.971428571,0.604285419,0.529206077,0.067021712,0.802084273,y
Shreya,Shreea,1,0.8,0.833333333,0.933333333,0.663371563,0.549292876,0.073364691,0.831639404,y
Shreya,Shreyaa,1,1,0.857142857,0.971428571,0.895389616,0.686150298,0.121401941,0.947679778,y
Harshita,Harshit,1,1,0.875,0.975,0.621019781,0.53458518,0.067906752,0.810376524,n
Harshita,Harshitha,1,0.75,0.888888889,0.977777778,0.663417041,0.549309602,0.072282914,0.831615614,y
Harshita,Haarshita,1,1,0.888888889,0.97037037,0.340537459,0.465452996,0.052697897,0.670178404,y
Harshita,Harshitaa,1,1,0.888888889,0.977777778,0.941087365,0.744459039,0.157645434,0.970541666,y
Anurag,Anuraag,1,1,0.857142857,0.971428571,0.783475041,0.603112505,0.088134457,0.891714398,y
Anurag,Anuraja,1,0.75,0.714285714,0.90952381,0.68128264,0.55605132,0.072807099,0.840609049,n
Anurag,Anuraag,1,1,0.857142857,0.971428571,0.783475041,0.603112505,0.088134457,0.891714398,y
Anurag,Anuraj,1,0.75,0.833333333,0.933333333,0.702971697,0.564732234,0.075991136,0.851453983,n
Vivek,Viveka,1,1,0.833333333,0.966666667,0.781407237,0.601974438,0.089260915,0.890667903,y
Vivek,Vivekan,0.75,0.86,0.714285714,0.942857143,0.735993743,0.579157889,0.081826852,0.867973031,n
Vivek,Vivek,1,1,1,1,1.000000119,1,1,1,y
Vivek,Vivvek,1,1,0.833333333,0.961111111,0.963737369,0.787832514,0.19441101,0.981871468,y
Swati,Sweta,1,1,0.6,0.786666667,0.402581275,0.4777634,0.056411849,0.701226367,n
Swati,Swathi,1,0.67,0.833333333,0.966666667,0.809585333,0.618385659,0.094602969,0.904791181,y
Swati,Swati,1,1,1,1,1.000000238,1,1,1,y
Swati,Swathi,1,0.67,0.833333333,0.966666667,0.809585333,0.618385659,0.094602969,0.904791181,y
Vishal,Vishaala,1,1,0.75,0.95,0.707290888,0.56653174,0.076518728,0.853585357,n
Vishal,Vishaal,1,1,0.857142857,0.971428571,0.771056294,0.596418902,0.086121873,0.885504735,y
Vishal,Vishal,1,1,1,1,1,1,1,1,y
Vishal,Veeshal,1,1,0.714285714,0.864285714,0.483242691,0.495879439,0.059339082,0.74149081,y
Aditya,Aaditya,1,0.86,0.857142857,0.957142857,0.44432807,0.486806797,0.057162027,0.722056462,y
Aditya,Aadhitya,1,0.75,0.75,0.925,0.655900717,0.546574311,0.070750493,0.82797215,y
Aditya,Aditya,1,1,1,1,1.000000238,1,1,1,y
Aditya,Adhitya,1,0.89,0.857142857,0.961904762,0.464969099,0.491536234,0.057274591,0.732415754,y
Nidhi,Nidi,1,0.8,0.8,0.953333333,0.744911671,0.583339879,0.082963801,0.872443141,y
Nidhi,Niddhi,1,1,0.833333333,0.961111111,0.751616597,0.586573264,0.084350005,0.875806896,y
Nidhi,Needi,1,0.8,0.4,0.76,0.305693984,0.459053814,0.051422926,0.652784288,y
Nidhi,Nidhee,1,1,0.666666667,0.893333333,0.66275996,0.549068185,0.071793769,0.831374575,y
Ayushi,Ayush,1,1,0.833333333,0.966666667,0.796455145,0.610487211,0.091306652,0.898232915,n
Ayushi,Aayushi,1,0.8,0.857142857,0.957142857,0.848109186,0.644677146,0.106572111,0.924062463,y
Ayushi,Ayuushi,1,1,0.857142857,0.966666667,0.79687351,0.6107318,0.092911454,0.898437992,y
Ayushi,Ayushii,1,1,0.857142857,0.971428571,0.93501246,0.73501263,0.152804373,0.967512771,y
Krishna,Krishn,1,1,0.857142857,0.971428571,0.374071985,0.471951048,0.055140952,0.686970971,y
Krishna,Krishan,1,1,0.714285714,0.971428571,0.393589437,0.475900031,0.054765605,0.696752272,n
Krishna,Krisna,1,0.75,0.857142857,0.971428571,0.378454328,0.472826642,0.055276851,0.68913526,y
Krishna,Krisnaa,1,0.75,0.714285714,0.942857143,0.384186894,0.47398158,0.05521811,0.692023476,y
Anshika,Anshikaa,1,1,0.875,0.975,0.953989625,0.767253948,0.178027982,0.976993783,y
Anshika,Anshikaa,1,1,0.875,0.975,0.953989625,0.767253948,0.178027982,0.976993783,y
Anshika,Anshika,1,1,1,1,1,1,1,1,y
Anshika,Anshhika,1,0.89,0.875,0.975,0.862202644,0.655749992,0.108824334,0.93112651,y
Sakshi,Saksham,0.75,0.86,0.714285714,0.90952381,0.536137581,0.509376404,0.062296885,0.768032404,n
Sakshi,Sakshee,1,1,0.714285714,0.90952381,0.52403146,0.506156708,0.063204901,0.76201259,y
Sakshi,Saakshi,1,1,0.857142857,0.961904762,0.649245501,0.544199459,0.070897518,0.82457192,y
Sakshi,Sakshi,1,1,1,1,1.000000119,1,1,1,y
Shivani,Shivam,1,0.67,0.714285714,0.90952381,0.778879642,0.600596314,0.086455781,0.889369905,n
Shivani,Shivanya,1,0.86,0.75,0.921428571,0.721590638,0.572671102,0.077905447,0.860714161,n
Shivani,Shiveni,1,1,0.857142857,0.942857143,0.586322248,0.523672374,0.066472106,0.793176214,y
Shivani,Shivaani,1,1,0.875,0.975,0.885989666,0.676811924,0.119680045,0.942962121,y
Prakhar,Prakhara,1,1,0.875,0.975,0.859248281,0.653351658,0.107832749,0.929585945,n
Prakhar,Prakhara,1,1,0.875,0.975,0.859248281,0.653351658,0.107832749,0.929585945,y
Prakhar,Prakaar,1,0.89,0.857142857,0.942857143,0.789147377,0.606285302,0.088571079,0.894514284,y
Prakhar,Prakhhar,1,1,0.875,0.975,0.866945565,0.659692634,0.111563575,0.933443316,y
Mansi,Mansee,1,1,0.666666667,0.893333333,0.613354087,0.532093158,0.068918711,0.806537039,y
Mansi,Mancey,1,1,0.5,0.79,0.593175888,0.525755581,0.065493061,0.79646925,y
Mansi,Mansi,1,1,1,1,0.999999881,1,1,1,y
Mansi,Maansee,1,1,0.571428571,0.832380952,0.454015374,0.489003951,0.058206512,0.726852697,y
Tushar,Tushara,1,1,0.857142857,0.971428571,0.852175891,0.647779362,0.106671528,0.926061505,y
Tushar,Tushaar,1,1,0.857142857,0.971428571,0.910050988,0.702176214,0.132445878,0.95500557,y
Tushar,Tushar,1,1,1,1,1.000000238,1,1,1,y
Tushar,Tusharr,1,1,0.857142857,0.971428571,0.847155213,0.643959799,0.106330166,0.92354222,y
Abhinav,Abhinava,1,1,0.875,0.975,0.842045724,0.640181326,0.102319783,0.920959858,y
Abhinav,Abhina,0.75,0.89,0.857142857,0.971428571,0.86671257,0.659496252,0.111674817,0.933293708,n
Abhinav,Abhinav,1,1,1,1,1.000000119,1,1,1,y
Abhinav,Abheenaav,1,1,0.666666667,0.888888889,0.845317125,0.642588159,0.105013903,0.922613099,y
Shivangi,Shivang,1,0.75,0.875,0.975,0.898479939,0.689369959,0.130860317,0.94926205,n
Shivangi,Shivanya,0.75,0.75,0.75,0.9,0.708213449,0.566919266,0.07722059,0.854069893,n
Shivangi,Shivangi,1,1,1,1,1.000000119,1,1,1,y
Shivangi,Shivaan,0.75,0.86,0.625,0.921428571,0.818086028,0.623759607,0.097208875,0.909022839,n
Ashutosh,Aashutosh,1,0.86,0.888888889,0.966666667,0.496338785,0.499088017,0.05958859,0.748097289,y
Ashutosh,Ashuthosh,1,0.75,0.888888889,0.952777778,0.730369329,0.576586762,0.080297815,0.865271419,y
Ashutosh,Ashutosh,1,1,1,1,1,1,1,1,y
Ashutosh,Aashitosh,1,0.86,0.777777778,0.895833333,0.459109545,0.490175178,0.058210978,0.729521824,y
Adarsh,Adarsha,1,1,0.857142857,0.971428571,0.857560217,0.652000466,0.106073746,0.928769786,y
Adarsh,Aadarsh,1,0.86,0.857142857,0.907142857,0.546438336,0.512182205,0.064448936,0.773188748,y
Adarsh,Adarsh,1,1,1,1,1,1,1,1,y
Adarsh,Adaarsh,1,1,0.857142857,0.966666667,0.887832642,0.678591857,0.118304084,0.94390848,y
Divya,Divyam,0.75,0.86,0.833333333,0.966666667,0.855668068,0.65050192,0.105322134,0.927781226,n
Divya,Divyani,0.75,0.86,0.714285714,0.942857143,0.85916996,0.653288717,0.108890569,0.929515872,y
Divya,Divyaa,1,1,0.833333333,0.966666667,0.817164898,0.62316679,0.098505586,0.908519976,y
Divya,Diviyaa,1,1,0.714285714,0.933333333,0.699057519,0.563122512,0.076175122,0.849455753,y
Piyush,Piyasha,1,1,0.714285714,0.894444444,0.762504458,0.591997575,0.083693017,0.881249107,y
Piyush,Piyusha,1,1,0.857142857,0.971428571,0.866057992,0.658945901,0.110883005,0.933026931,y
Piyush,Piyussh,1,1,0.857142857,0.971428571,0.875557184,0.667162774,0.116851065,0.937778375,y
Piyush,Piyuush,1,1,0.857142857,0.971428571,0.824702978,0.628097337,0.096350665,0.912353097,y
Pragya,Pragyan,0.75,0.89,0.857142857,0.971428571,0.821152449,0.625752426,0.09596077,0.910526768,n
Pragya,Pragyani,0.75,0.89,0.75,0.95,0.833160102,0.63385405,0.10058118,0.916578396,n
Pragya,Pragyaa,1,1,0.857142857,0.971428571,0.945665419,0.752077674,0.161577287,0.972825758,y
Pragya,Pragyaana,0.75,0.89,0.666666667,0.933333333,0.945541799,0.751865725,0.163536589,0.972747381,n
Ajay,Ajai,1,1,0.75,0.883333333,0.803048193,0.614395088,0.092233475,0.901463674,y
Ajay,Ajoy,1,1,0.75,0.866666667,0.814370275,0.621384124,0.095463791,0.907125428,y
Ajay,Ajay,1,1,1,1,0.999999881,1,1,1,y
Ajay,Aayjay,1,0.67,0.666666667,0.825,0.365253806,0.470208182,0.05351861,0.682482821,y
Akanksha,Akansha,1,0.89,0.875,0.975,0.680594325,0.555784996,0.074606011,0.840247521,y
Akanksha,Akansh,1,0.89,0.75,0.95,0.633816004,0.538855487,0.070561666,0.816847156,n
Akanksha,Akanksha,1,1,1,1,1.000000119,1,1,1,y
Akanksha,Akanksh,1,1,0.875,0.975,0.822289944,0.626499166,0.098799389,0.91111971,y
Neeraj,Neeraaj,1,1,0.857142857,0.971428571,0.795144856,0.609724037,0.092771176,0.897545822,y
Neeraj,Niraj,1,1,0.666666667,0.84,0.772025108,0.596929211,0.087574208,0.88601016,y
Neeraj,Nereej,1,1,0.5,0.857777778,0.511646986,0.502946156,0.062070132,0.755750287,y
Neeraj,Neeranj,0.75,0.86,0.857142857,0.971428571,0.76405251,0.59278719,0.087093374,0.881992659,n
Ritika,Rithika,1,0.67,0.857142857,0.966666667,0.917143822,0.710692656,0.137496868,0.958544424,y
Ritika,Ritika,1,1,1,1,0.999999881,1,1,1,y
Ritika,Retika,1,1,0.833333333,0.84,0.701540768,0.564141456,0.078201885,0.850636282,y
Ritika,Ritikaa,1,1,0.857142857,0.971428571,0.95420301,0.767668895,0.178754859,0.977086889,y
Tanya,Taniya,1,1,0.833333333,0.961111111,0.497298837,0.499326512,0.059658209,0.748389074,y
Tanya,Tania,1,0.8,0.8,0.906666667,0.371082962,0.471357499,0.054055035,0.685133177,y
Tanya,Tanya,1,1,1,1,1.000000238,1,1,1,y
Tanya,Tanyaa,1,1,0.833333333,0.966666667,0.89983964,0.690811843,0.125212165,0.949884731,y
Nisha,Nishi,1,1,0.8,0.92,0.693958461,0.561054704,0.076813757,0.846955988,n
Nisha,Neesha,1,1,0.666666667,0.84,0.736050487,0.579184161,0.081980159,0.868007286,y
Nisha,Neshia,1,1,0.666666667,0.84,0.441111147,0.486085789,0.056503633,0.720492995,y
Nisha,Nishaa,1,1,0.833333333,0.966666667,0.946129918,0.752877334,0.16197262,0.973071688,y
Arun,Aruna,1,1,0.8,0.96,0.914133191,0.7070098,0.136624398,0.957065816,n
Arun,Aarun,1,0.8,0.8,0.94,0.237529874,0.447450345,0.04881386,0.618495439,y
Arun,Arun,1,1,1,1,0.999999881,1,1,1,y
Arun,Aarun,1,0.8,0.8,0.94,0.237529874,0.447450345,0.04881386,0.618495439,y
Pallavi,Pallaavi,1,1,0.875,0.975,0.629503965,0.537400677,0.06865697,0.814691224,y
Pallavi,Pallav,1,1,0.857142857,0.971428571,0.916540384,0.709946076,0.138104433,0.958266831,n
Pallavi,Pallaavi,1,1,0.875,0.975,0.629503965,0.537400677,0.06865697,0.814691224,y
Pallavi,Pallavi,1,1,1,1,0.99999994,1,1,1,y
Aniket,Aniketh,1,0.75,0.857142857,0.971428571,0.848038852,0.644624113,0.104415962,0.924040953,y
Aniket,Aniketa,1,1,0.857142857,0.971428571,0.792847872,0.608396606,0.091556844,0.89641738,n
Aniket,Aneekit,1,1,0.571428571,0.826031746,0.573779523,0.519945803,0.066536619,0.786873434,y
Aniket,Anikeet,1,1,0.857142857,0.971428571,0.880714655,0.671845716,0.118586683,0.940354324,y
Nikita,Nikitha,1,0.67,0.857142857,0.971428571,0.360915959,0.469359949,0.05453916,0.680407811,y
Nikita,Niki,0.75,0.8,0.666666667,0.933333333,0.407691598,0.478835252,0.056387768,0.703821224,n
Nikita,Nikita,1,1,1,1,1.000000119,1,1,1,y
Nikita,Nikeeta,1,1,0.714285714,0.894444444,0.237242848,0.447403832,0.05000392,0.618480526,y
Vijay,Vijaya,1,0.8,0.833333333,0.966666667,0.907240212,0.698948737,0.130719336,0.953611824,n
Vijay,Vijayan,0.75,0.67,0.714285714,0.942857143,0.911379576,0.703729795,0.131349879,0.955687018,n
Vijay,Vijai,1,1,0.8,0.92,0.333874166,0.464202525,0.051558533,0.666858707,y
Vijay,Vijayaa,1,0.8,0.714285714,0.942857143,0.892990947,0.683704088,0.122097733,0.94648582,n
Ananya,Ananya,1,1,1,1,0.999999881,1,1,1,y
Ananya,Aananya,1,0.86,0.857142857,0.857142857,0.596899569,0.526901795,0.066691327,0.798332983,y
Ananya,Aaananya,1,0.86,0.75,0.875,0.393318504,0.47584434,0.054553671,0.696355394,y
Ananya,Ananyaa,1,1,0.857142857,0.971428571,0.939783633,0.742371771,0.158720928,0.969869363,y
Priyanshi,Priyansh,1,1,0.888888889,0.977777778,0.831966877,0.633026599,0.099072799,0.915961675,y
Priyanshi,Priyan,0.75,0.89,0.666666667,0.933333333,0.838024974,0.637281204,0.101028907,0.918988609,n
Priyanshi,Priyansi,1,0.8,0.888888889,0.977777778,0.841457486,0.639753098,0.103425916,0.920701976,y
Priyanshi,Priyanshi,1,1,1,1,1,1,1,1,y
Suraj,Sooraj,1,1,0.666666667,0.84,0.449765623,0.488035247,0.057327065,0.724858523,y
Suraj,Suraaj,1,1,0.833333333,0.966666667,0.672592163,0.55272838,0.074529323,0.836212773,y
Suraj,Surraj,1,1,0.833333333,0.961111111,0.713649631,0.569226435,0.078189587,0.856774247,y
Suraj,Souraj,1,1,0.833333333,0.95,0.626572073,0.536420765,0.069129699,0.813162151,y
Akshat,Aksha,0.75,0.86,0.833333333,0.966666667,0.885179996,0.676037614,0.117125834,0.942571762,n
Akshat,Aksha,0.75,0.86,0.833333333,0.966666667,0.885179996,0.676037614,0.117125834,0.942571762,n
Akshat,Akshath,1,0.75,0.857142857,0.971428571,0.896910369,0.687724898,0.123591646,0.948454332,y
Akshat,Akshaat,1,1,0.857142857,0.971428571,0.924451649,0.720091918,0.139803264,0.962215358,y
Ishika,Ishikaa,1,1,0.857142857,0.971428571,0.933984101,0.733480934,0.150030651,0.966993671,y
